2	P	0	4.64979	-2.36789
2	P	1	4.69105	-2.33076
2	P	2	4.73496	-2.29047
2	P	3	4.93217	-2.10363
2	P	4	4.96799	-2.06903
2	P	5	5.00465	-2.03346
11	P	0	3.18721	-4.27097
11	P	1	3.22802	-4.28908
11	P	2	3.27143	-4.30835
11	P	3	3.46664	-4.39513
11	P	4	3.5028	-4.41199
11	P	5	3.54019	-4.42986
12	P	0	8.77703	1.49119
12	P	1	8.76627	1.54891
12	P	2	8.75493	1.61081
12	P	3	8.70552	1.8937
12	P	4	8.69589	1.94636
12	P	5	8.68581	2.00072
16	P	0	6.66781	-1.66882
16	P	1	6.65552	-1.63026
16	P	2	6.64224	-1.58953
16	P	3	6.58122	-1.40913
16	P	4	6.56955	-1.3766
16	P	5	6.55739	-1.34356
35	P	0	9.26679	-2.78937
35	P	1	9.27363	-2.75046
35	P	2	9.28041	-2.70883
35	P	3	9.307	-2.51971
35	P	4	9.31142	-2.48516
35	P	5	9.31569	-2.44991
50	P	0	5.742	-1.34167
50	P	1	5.7695	-1.34257
50	P	2	5.79886	-1.34315
50	P	3	5.93245	-1.34269
50	P	4	5.95702	-1.34287
50	P	5	5.98231	-1.34338
71	P	0	5.96023	2.18988
71	P	1	5.96343	2.20095
71	P	2	5.96697	2.21278
71	P	3	5.98403	2.26612
71	P	4	5.98664	2.27529
71	P	5	5.98905	2.2842
105	P	0	4.64933	0.808897
105	P	1	4.69939	0.808942
105	P	2	4.7532	0.809032
105	P	3	4.99984	0.809009
105	P	4	5.04525	0.808355
105	P	5	5.09193	0.807126
114	P	0	3.91301	-0.0550841
114	P	1	3.85649	0.00193467
114	P	2	3.79647	0.0628323
114	P	3	3.52758	0.338779
114	P	4	3.47781	0.389429
114	P	5	3.42656	0.441385
135	P	0	4.86289	-4.58441
135	P	1	4.89472	-4.56556
135	P	2	4.92832	-4.54515
135	P	3	5.0777	-4.45053
135	P	4	5.10505	-4.43346
135	P	5	5.13315	-4.41626
137	P	0	4.42335	-4.41392
137	P	1	4.49448	-4.35439
137	P	2	4.57058	-4.29047
137	P	3	4.91572	-3.9986
137	P	4	4.97927	-3.94491
137	P	5	5.04461	-3.88979
142	P	0	7.48275	-1.48815
142	P	1	7.47844	-1.48077
142	P	2	7.47405	-1.47286
142	P	3	7.45595	-1.43703
142	P	4	7.45266	-1.43074
142	P	5	7.44938	-1.42456
147	P	0	10.071	-2.22886
147	P	1	10.0539	-2.18826
147	P	2	10.0354	-2.1443
147	P	3	9.95077	-1.94089
147	P	4	9.93517	-1.90274
147	P	5	9.91911	-1.86333
157	P	0	7.00458	-4.11638
157	P	1	6.97591	-4.07841
157	P	2	6.94517	-4.03769
157	P	3	6.80517	-3.85215
157	P	4	6.7788	-3.81827
157	P	5	6.75144	-3.78379
171	P	0	4.90112	-4.2193
171	P	1	4.94283	-4.22268
171	P	2	4.98706	-4.22602
171	P	3	5.18611	-4.23928
171	P	4	5.22256	-4.24195
171	P	5	5.25995	-4.24493
177	P	0	5.1913	0.377723
177	P	1	5.18925	0.424097
177	P	2	5.18697	0.474084
177	P	3	5.17654	0.704479
177	P	4	5.17421	0.747006
177	P	5	5.17161	0.790613
207	P	0	3.13644	-4.17968
207	P	1	3.15861	-4.18052
207	P	2	3.18234	-4.18107
207	P	3	3.29106	-4.17957
207	P	4	3.31119	-4.17964
207	P	5	3.33206	-4.17999
225	P	0	1.56949	-2.83375
225	P	1	1.51669	-2.8318
225	P	2	1.46003	-2.82973
225	P	3	1.20168	-2.82102
225	P	4	1.1537	-2.82014
225	P	5	1.10411	-2.81974
227	P	0	5.29709	-2.09716
227	P	1	5.34488	-2.08512
227	P	2	5.39607	-2.07229
227	P	3	5.63009	-2.01479
227	P	4	5.67345	-2.00492
227	P	5	5.71815	-1.99531
235	P	0	6.12122	-4.14453
235	P	1	6.14341	-4.14525
235	P	2	6.16747	-4.14582
235	P	3	6.28026	-4.14694
235	P	4	6.30128	-4.14718
235	P	5	6.32316	-4.1476
245	P	0	6.36733	-0.18981
245	P	1	6.35193	-0.199073
245	P	2	6.33513	-0.209263
245	P	3	6.25752	-0.257565
245	P	4	6.24271	-0.267029
245	P	5	6.22734	-0.277167
251	P	0	8.39385	3.48836
251	P	1	8.39642	3.53469
251	P	2	8.39905	3.58412
251	P	3	8.40975	3.8071
